	chart	title	artist	weeks	rank	query_week	lyrics
13	country-songs	Blue Ain't Your Color	Keith Urban	30.0	10.0	2017-03-11	"I can see you over there
Starring at your drink
Watchin' that ice sink
All alone tonight

And chances are
You're sittin' here in this bar
‘Cause he ain't gonna treat you right
Well, it's probably not my place
But I'm gonna say it anyway
‘Cause you look like
You haven't felt the fire
Had a little fun
Hadn't had a smile in a little while
Baby

Blue looks good on the sky
Looks good on that neon buzzin' on the wall
But darling, it don't match your eyes
I'm tellin' you
...


(1409614428508)"
14	country-songs	Kill A Word	Eric Church Featuring Rhiannon Giddens	25.0	11.0	2017-03-11	"If I could kill a word and watch it die
I'd poison ""never,"" shoot goodbye
Beat ""regret"" when I felt I had the nerve
Yeah, I'd pound ""fear"" to a pile of sand
Choke ""lonely"" out with my bare hands
I'd hang ""hate"" so that it can't be heard
If I could only kill a word

I'd take ""brokeness"" out back
And break ""heartbreak,"" stand there and laugh
Right in its face while shootin' it the bird
I'd put ""upset"" down in its place
I'd squeeze the life out of ""disgrace""
Lay ""over"" under six cold feet of dirt
...


(1409614428508)"
15	country-songs	Star Of The Show	Thomas Rhett	21.0	10.0	2017-03-04	"Walking down the street, hand in mine
It don't keep them other guys
And their wondering eyes from looking at you
That's alright and that's ok
Who can blame 'em anyway?
You're so pretty, and you ain't even got a clue


Cause everywhere we go girl
You're the star of the show
And everybody's wondering and wanting to know
What's your name?
Who's that girl, with the prettiest smile in the world?
Oh, what gets me the most is you don't even know
That you are, you are, you are
The star of the show
You're the star of the show, yeah, baby
...


(1409614428508)"
16	country-songs	A Guy With A Girl	Blake Shelton	21.0	12.0	2017-03-04	"Sometimes I'm the guy with the boys kicking it back
Or the guy with the guitar singing on a country track
I might be the guy with an ice cold can, stirring up dust on some old farmland
When I walk into the party with you girl, you change all that

I'm just the guy with the girl everybody wants to know
Wishin' you were there alone
Wonderin' how I ever got your little hand in mine
Lookin' over at ya like ""ain't she beautiful?""
I'm invisible but I stand right there and smile
You're right beside me, oh and I see the same thing they're seein'
But I don't mind being the guy with the girl, no

It's funny watchin' 'em do the way they do
They come walkin' up to me but they only wanna talk to you
And I don't blame 'em that they're hypnotized
...


(1409614428508)"
17	country-songs	Seein' Red	Dustin Lynch	34.0	9.0	2017-02-25	"Flame
Girl you light it up when I hear you say my name
Yeah you know just how to start it
You shine, and I can't wait to get you out tonight
Yeah you know how bad I want it
Ride this Chevy like a Cadilac
Well that one stop light, no lookin' back
Wherever we're going gonna get there fast

I'm talkin' red-hot red kiss fallin' off your lips
I'm talking red-hot red dress hangin' on your hips
I'm talkin' backseat heatbeat poundin' in my chest
I'm seein' red
I'm seein' red
Can't get you outta my head, girl
Can't get you outta my head
The way you color up my world
I'm seein'red
...


(1409614428508)"
18	country-songs	Black	Dierks Bentley	15.0	17.0	2017-02-25	"the moon outside too bright
those blinds let s just keep them close.
you know my hands know where to go to find your fingertips chasing back to your lips,
take you on a trip.
flip that switch
...


(1409614428508)"
19	country-songs	My Old Man	Zac Brown Band	2.0	10.0	2017-02-18	"He was a giant
And I was just a kid
I was always trying
To do everything he did
I can still remember every lesson he taught me
Growing up learning how to be like my old man

He was a lion
We were our father's pride
But I was defiant
When he made me walk the line
He knew how to lift me up
And when to let me fall
...


(1409614428508)"
20	country-songs	80s Mercedes	Maren Morris	36.0	16.0	2017-02-18	"Still runs good, built to last
Moves like a hula girl on the dash
She ain't made for practicality
Yeah, I guess she's just like me

It's Saturday night, about time to go
Got my white leather jacket and a neon soul
Once I turn on the radio I'm ready to roll

Feel like a hard-to-get starlet when I'm driving
Turning every head hell I ain't even trying
Got them Ray-Ban shades pretty in pink
Call me old school but hey

I'm a 90's baby
In my 80's Mercedes
I'm a 90's baby
...


(1409614428508)"
21	country-songs	The Weekend	Brantley Gilbert	28.0	9.0	2017-02-11	"Hey

Tick tock, I'm on the clock and I'm feeling like
This job's just 9 to 5'in my life away
It's like I'm back in school and I'm in the last class
And I'm passing time until the bell ring
Havin' visions of summertime
Wait a minute now, that's just later tonight
Tan legs and tailgating, it's all up in the moonlight
And by the way, loosin' up its pay day

Live it up for the weekend
Pour it up, have the time of your life
Take a shot for the regrets
Double up and it's bound to get buck wild
Hey ladies, let your hair down
We know ain't nobody scared now, hell nah
Just do your thing like it's spring break
...


(1409614428508)"
22	country-songs	If The Boot Fits	Granger Smith	29.0	14.0	2017-02-11	"Just a small town Cinderella
Daddy wants you back home by midnight
every time we're together
Yeah, that's my delimma
I need more time with ya
I wanna watch the sun rise through the pines with ya
Night like this, wouldn't wanna miss
moonlight shining on a long slow kiss
You can be the one I can get lucky with
If the boot fits
Woah
Diamonds in the sky lighting up those eyes
like whoah
You're the kind of fine that i cant deny
it gets me high, cross my heart hope to die
Pick a star make a wish
Yeah girl, you can be my all night
...


(1409614428508)"
23	country-songs	May We All	Florida Georgia Line Featuring Tim McGraw	28.0	7.0	2017-02-04	"May we all get to grow up in our red white and blue little town
Get a one star hand me down Ford to try to fix up
With some part time cash from driving a tractor
Find a sweet little thang, wears your ball cap backwards
Kinda place you can't wait to leave but nobody does
Cause you miss it too much

May we all know that nothing ain't cool 'til you wear the new one
The sound of a quarter rollin' down a jukebox
Play the Travis Tritt right above the 2Pac
Hope you get lost down some road
Slow rolling with the top off the back of a Bronco
Buy a cold sixer with a cashed in lotto
She's smilin' with her hair blowing out the window
Where you 'bout to go?
Yeah you learn to fly and if you can't then you just frefall
May we all
...


(1409614428508)"
24	country-songs	Dirty Laundry	Carrie Underwood	22.0	10.0	2017-02-04	"That lipstick on your collar, well, it ain't my shade of pink
And I can tell by the smell of that perfume, it's like forty dollars too cheap
And there's a little wine stain on the pocket of your white cotton thread
You drink beer and whiskey, boy, and you know I don't drink red

Found it over in the corner
Wadded up on the bedroom floor
You shoulda hid it in the closet
You shoulda burned it, you shoulda lost it

Now I'ma have to hang you out to dry, dry, dry
Clothespin all your secrets to the line, line, line
Leave 'em blowing in the wind, just say goodbye to you
All those midnights sneaking in
...


(1409614428508)"
25	country-songs	Wanna Be That Song	Brett Eldredge	35.0	8.0	2017-01-28	"The radio and a sundress
Makin' my world all a mess
Back corner of a cornfield
Bottle tops and the truth spin
Pull the lever, lay the seat back laughin'
You slippin' off your shoes
While the dashboard speakers
Sing every word of Night Moves
I wanna be that song that gets you high
Makes you dance, makes you fall
That melody rewinds years, once disappeared
Makes time stall
wanna be those words
that fill you up, roll your windows down
and keeps you young
makes you believe you're right where you belong
i wanna be that song
i wanna be wanna be wanna be wanna be that song
ooh
i wanna be
i wanna
i wanna
...


(1409614428508)"
26	country-songs	Tennessee Whiskey	Chris Stapleton	23.0	16.0	2017-01-28	"Used to spend my nights out in a barroom
Liquor was the only love I've known
But you rescued me from reachin' for the bottom
And brought me back from being too far gone

You're as smooth as Tennessee whiskey
You're as sweet as strawberry wine
You're as warm as a glass of brandy
And honey, I stay stoned on your love all the time

...


(1409614428508)"
27	country-songs	Parachute	Chris Stapleton	40.0	12.0	2017-01-21	"Street lights along the highway
Throwing shadows in the dark
And the memories keep on turning
To the rhythm of a broken heart

You only need a roof when it's raining
You only need a fire when it's cold
You only need a drink when the whiskey
Is the only thing you have left to hold
Sun comes up and goes back down
And falling feels like flying till you hit the ground
Say the word and I'll be there for you
Baby, I will be your parachute

Parachute
...


(1409614428508)"
28	country-songs	Drinkin' Too Much	Sam Hunt	1.0	16.0	2017-01-21	"Oh I drink and take a sip of it
Feelin' like a hypocrite
Go for more and I won't give a shit
I never used to talk, I never used to talk like

I'm sorry I named the album Montevallo
And I'm sorry people know your name now
And strangers hit you up on social media
I'm sorry you can't listen to the radio
And drive out to the place where we used to get peaches down in Pelham
I know you want your privacy
And you've got nothing to say to me
But I wish you'd let me pay of your student loans
To these songs you gave to me
Remember the first time you stayed with me
Overpacked, and drove up, and went to the CMA's with me
Two years later it felt like you were a million miles away from me
And I was the one on stage, drunk
Barely holdin' on, on ABC
Hope your dad still prays for me

Drinkin' too much, drinkin' too much
...


(1409614428508)"
29	country-songs	Song For Another Time	Old Dominion	30.0	9.0	2017-01-14	"Right now we both know
we're marina del ray,
planes gonna fly away
and you'll be on it
And by this time tomorrow
i'll be singing yesterday
the sunshine's gonna fade
and we can't stop it
so before we turn in to
i can't make you love me

let's be brown eyed girl sweet caroline,
free fall small town sat night.
before you lose that loving feeling
let's go dancing on the ceiling
keep on living that teenage dream,
...


(1409614428508)"
30	country-songs	How I'll Always Be	Tim McGraw	26.0	11.0	2017-01-14	"I'm a little more beer bottle beer joint than a fancy bar
I'm a little more sitting up high on the road than a little car
I'm a little more bust ya back than take it for free
And that's how I'll always be
I'm a little more lose my temper than to sit on back
I'm a little more ol' Hank Williams than that trendy crap
I love a flat wood ol' front porch made of an old oak tree
And that's how I'll always be

I'll always be a fan of ol' stray dogs and guitars playin'
One room churches, back road walks and front porch swingin'
Sunset skies, bonfire nights, I love the simple things
...


(1409614428508)"
31	country-songs	Setting The World On Fire	Kenny Chesney Featuring P!nk	23.0	11.0	2017-01-07	"Yeah we got drunk on La Cienega Boulevard
Taking pictures of people we thought were stars
(It's easy to give in to your heart...)
When you're drunk on La Cienega Boulevard
When the song comin' out of the speakers
Was the band that you had on your t-shirt
We were screamin' cause all the streets were empty
And you kissed me, and we were...

Up all night and we were feelin' so good
Yeah, we got a little higher than we probably should
We were in a hotel singin' in the hallway lights
We were strikin' the matches right down to the ashes
Setting the world on fire, setting the world on fire

...


(1409614428508)"
32	country-songs	A Little More Summertime	Jason Aldean	24.0	19.0	2017-01-07	"They boarded up this water town
Ain't nobody hanging 'round
Another grey September day
Was I crazy to think she'd stay

If that sun had just
Hung up in that sky
Just a little
Just a little bit longer
If those blue water waves
Could've stayed at our feet
Instead of going out with the tide
If that wind was a friend
It'd still be blowing in
Like a warm southern whisper on her
She might have stayed forever
...


(1409614428508)"
1	rock-songs	Believer	Imagine Dragons	11.0	1.0	2017-04-22	"First things first
I'mma say all the words inside my head
I'm fired up and tired of the way that things have been, oh-ooh
The way that things have been, oh-ooh
Second thing second
Don't you tell me what you think that I can be
I'm the one at the sail, I'm the master of my sea, oh-ooh
The master of my sea, oh-ooh

I was broken from a young age
Taking my soul into the masses
Write down my poems for the few
That looked at me Took to me, shook to me, feeling me
Singing from heart ache from the pain
Take up my message from the veins
Speaking my lesson from the brain
Seeing the beauty through the...

Pain!
You made me a, you made me a believer, believer
Pain!
You break me down, you build me up, believer, believer
Pain!
...


(1409614428508)"
2	rock-songs	Heathens	twenty one pilots	43.0	2.0	2017-04-22	"All my friends are heathens, take it slow
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse

All my friends are heathens, take it slow
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse

Welcome to the room of people
Who have rooms of people that they loved one day
Locked away
Just because we check the guns at the door
Doesn't mean our brains will change from hand grenades

You'll never know the psychopath sitting next to you
You'll never know the murderer sitting next to you
...


(1409614428508)"
3	rock-songs	Heavy	Linkin Park Featuring Kiiara	8.0	3.0	2017-04-15	"I don't like my mind right now
Stacking up problems that are so unnecessary
Wish that I could slow things down
I wanna let go but there's comfort in the panic
And I drive myself crazy
Thinking everything's about me
Yeah, I drive myself crazy
'Cause I can't escape the gravity

I'm holding on
Why is everything so heavy?
Holding on
So much more than I can carry
I keep dragging around what's bringing me down
If I just let go, I'd be set free
Holding on
Why is everything so heavy?

...


(1409614428508)"
4	rock-songs	Ride	twenty one pilots	90.0	4.0	2017-04-15	"I just wanna stay in the sun where I find
I know it's hard sometimes
Pieces of peace in the sun's peace of mind
I know it's hard sometimes.
Yeah, I think about the end just way too much
But it's fun to fantasize
On my enemies who wouldn't wish who I was
But it's fun to fantasize.

Oh, oh, oh, oh
Oh, oh, oh, oh.
I'm fallin' so I'm taking my time on my ri-i-i-ide

Oh, oh, oh, oh

I'm fallin' so I'm taking my time on my ride
Takin' my time on my ride.
""I'd die for you"" that's easy to say
We have a list of people that we would take
A bullet for them, a bullet for you
A bullet for everybody in this room
But I don't seem to see many bullets coming through
See many bullets coming through
Metaphorically, I'm the man
...


(1409614428508)"
5	rock-songs	Saturnz Barz	Gorillaz Featuring Popcaan	1.0	5.0	2017-04-08	"Haha, woii yoii!
Done know how di ting go, a the Unruly boss
Don'?
Hahaha

(Press the button to begin)

Cho
All my life
Mi ever have mi gun so mi haffi move sharp like mi knife
All my life
Mi pray say when mi get wealthy a ma a mi wife
All my life
The system force mi
Fi be a killer just like Rodney Price
All my life
No, all my life

Aa happen to you cobe, some bwoy doh know mi
To how me ruff dem cah believe a grandma grow mi
Know few Popcaan song doh, and feel dem know mi
...


(1409614428508)"
6	rock-songs	Human	Rag'n'Bone Man	18.0	6.0	2017-04-08	"I'm only human
I'm only, I'm only
I'm only human, human

Maybe I'm foolish
Maybe I'm blind
Thinking I can see through this
And see what's behind
Got no way to prove it
So maybe I'm blind
But I'm only human after all
I'm only human after all
Don't put your blame on me
Don't put your blame on me

Take a look in the mirror
And what do you see
Do you see it clearer
Or are you deceived
In what you believe
'Cause I'm only human after all
You're only human after all
Don't put the blame on me
Don't put your blame on me
...


(1409614428508)"
7	rock-songs	HandClap	Fitz And The Tantrums	52.0	6.0	2017-04-01	"Somebody save your soul cause you've been sinning in the city I know
Too many troubles, all these lovers got you losin' control
You're like a drug to me, a luxury, my sugar and gold
I want the good life
Every good night you're a hot one to hold
Cause you don't even know
I can make your hands clap
Said I can make your hands clap
Somebody save your soul cause you've been sinning in the city I know
Too many troubles, all these lovers got you losin' control
You're like a drug to me, a luxury, my sugar and gold
I want your sex and your affection when I'm holding you close
Cause you don't even know
I can make your hands clap
Said I can make your hands clap
...


(1409614428508)"
8	rock-songs	Way Down We Go	Kaleo	48.0	7.0	2017-04-01	"Father tell me, we get what we deserve
Oh we get what we deserve

And way down we go
Way down we go
Say way down we go
Way down we go

You let your feet run wild
Time has come as we all oh, go down
Yeah but for the fall oh, my
...


(1409614428508)"
9	rock-songs	Sucker For Pain	Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors	38.0	7.0	2017-03-25	"I torture you
Take my hand through the flames
I torture you
I'm a slave to your games
I'm just a sucker for pain

I wanna chain you up
I wanna tie you down
I'm just a sucker for pain

I'm a sucker for pain
I got the squad tatted on me from my neck to my ankles
Pressure from the man got us all in rebellion
We gon' go to war, yeah, without failure

Do it for the fam, dog, ten toes down, dog
Love and the loyalty that's what we stand for
Alienated by society, all this pressure give me anxiety

Walk slow through the fire
Like, who gon' try us?
Feeling the world go against us
So we put the world on our shoulder

I torture you
Take my hand through the flames
I torture you
I'm a slave to your games
I'm just a sucker for pain

I wanna chain you up
I wanna tie you down
I'm just a sucker for pain

...


(1409614428508)"
10	rock-songs	Heavydirtysoul	twenty one pilots	32.0	9.0	2017-03-25	"There’s an infestation in my mind’s imagination
I hope that they choke on smoke cause I’m smoking them out the basement
This is not rap, this is not hip-hop
Just another attempt to make the voices stop
Rapping to prove nothing, just writing to say something
Cause I wasn’t the only one who wasn’t rushing to saying nothing
This doesn’t mean I lost my dream
It’s just right now I got a really crazy mind to clean

Gangsters don’t cry
Therefore, therefore I’m Mr. Misty-eyed, therefore I’m

Can you save
Can you save my
Can you save my heavydirtysoul?
Can you save
Can you save my
Can you save my heavydirtysoul?
For me, for me, oh
Can you save my heavydirtysoul?
For me, for me, oh
Can you save my heavydirtysoul?
...


(1409614428508)"
11	rock-songs	Hypnotised	Coldplay	1.0	8.0	2017-03-18	"Been rusting in the rubble
Running to a faint
Need a brand new coat of paint
Found myself in trouble
Thinking about what ain't
Never gonna be a saint
Saying float like an eagle
Fall like the rain
Pouring in to put out the pain
Oh again and again

Now I'm hyp, hypnotized
Yeah I trip, when I look in your eyes
...


(1409614428508)"
12	rock-songs	Love	Lana Del Rey	3.0	9.0	2017-03-18	"Look at you kids with your vintage music
Comin' through satellites while cruisin'
You're part of the past, but now you're the future
Signals crossing can get confusing

It's enough just to make you feel crazy, crazy, crazy
Sometimes, it's enough just to make you feel crazy

You get ready, you get all dressed up
To go nowhere in particular
Back to work or the coffee shop
Doesn't matter cause it's enough
To be young and in love (ah, ah)
To be young and in love (ah, ah)

Look at you kids, you know you're the coolest
The world is yours and you can't refuse it
Seen so much, you could get the blues
But that don't mean that you should abuse it

...


(1409614428508)"
13	rock-songs	Come Together	Godsmack	1.0	11.0	2017-03-11	"Here come old flat top
He come groovin' up slowly
He got joo joo eyeballs
He one holy rollers
He got hair down to his knee
Got to be a joker
He just do what he please

He wear no shoeshine
He got toe jam football
He got monkey finger
He shoot Coca Cola
He say I know you, you know me
One thing I can tell you is
You got to be free
Come together, right now
...


(1409614428508)"
14	rock-songs	Cleopatra	The Lumineers	48.0	12.0	2017-03-11	"I was Cleopatra, I was young and an actress
When you knelt by my mattress, and asked for my hand
But I was sad you asked it, as I laid in a black dress
With my father in a casket, I had no plans

And I left the footprints, the mud stained on the carpet
And it hardened like my heart did when you left town
But I must admit it, that I would marry you in an instant
Damn your wife, I'd be your mistress just to have you around

...


(1409614428508)"
15	rock-songs	Take It All Back	Judah & The Lion	27.0	11.0	2017-03-04	"So I take it all back, take it all back, take it all back
I take it all back just to have you.
And I take it all back, take it all back, take it all back
I take it all back just to have you.
And I take it all back, take it all back, take it all back
I take it all back just to have you.
I'm waking up
Hey, My life is real great feel I'm well on my way to my dreams coming true and I'm
getting to do with you
and it feels so nice when the people sing along, singing along to the banjo
And I take it all back, take it all back, take it all back
I take it all back just to have you.
Yeah
...


(1409614428508)"
16	rock-songs	Somebody Else	The 1975	40.0	12.0	2017-03-04	"So I heard you found somebody else
And at first, I thought it was a lie
I took all my things that make sounds
The rest I can do without

I don't want your body
But I hate to think about you with somebody else
Our love has gone cold
You're intertwining your soul with somebody else

I'm looking through you
While you're looking through your phone
And then leaving with somebody else
No, I don't want your body
But I'm picturing your body with somebody else

I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body

...


(1409614428508)"
17	rock-songs	Unsteady	X Ambassadors	72.0	5.0	2017-02-25	"Hold, hold on, hold onto me
'Cause I'm a little unsteady
A little unsteady
Hold, hold on, hold onto me
'Cause I'm a little unsteady
A little unsteady

Mama, come here
Approach, appear
Daddy, I'm alone
'Cause this house don't feel like home

If you love me, don't let go
...


(1409614428508)"
18	rock-songs	Chain Breaker	Zach Williams	21.0	10.0	2017-02-25	"If you've been walking the same old road for miles and miles
If you've been hearing the same old voice tell the same old lies
If you're trying to feel the same old holes inside
There's a better life
There's a better life

If you've got pain
He's a pain taker
...


(1409614428508)"
19	rock-songs	Still Breathing	Green Day	20.0	13.0	2017-02-18	"I'm like a child looking off on the horizon
I'm like an ambulance that's turning on the sirens
Oh, I'm still alive

I'm like a soldier coming home for the first time
I dodged a bullet, and I walked across a landmine
Oh, I'm still alive

Am I bleeding?
Am I bleeding from the storm?
Just shine a light into the wreckage, so far away, away

'Cause I'm still breathing
'Cause I'm still breathing on my own
My head's above the rain and roses
Making my way away

'Cause I'm still breathing
'Cause I'm still breathing on my own
My head's above the rain and roses
Making my way away
My way to you
...


(1409614428508)"
20	rock-songs	My Name Is Human	Highly Suspect	22.0	14.0	2017-02-18	"Okay

I'm feeling the way that I'm feeling myself
Fuck everyone else
Gotta remember that nobody's better than anyone else, here
(Do you need some time to think it over?)
Look what they do to you
Look what they do to me
Must be joking if you think that either one is free, here

Get up off your knees, girl
Stand face to face with your God
And find out what you are
(Hello, my name is human)
Hello, my name is human
And I came down from the stars
(Hello, my name is human)

I'm ready for love and I'm ready for war
But I'm ready for more
...


(1409614428508)"
21	rock-songs	Ophelia	The Lumineers	52.0	7.0	2017-02-11	"Ah, ah, when I was young
I, I should've known better
And I can't feel no remorse
And you don't feel nothing back

I, I got a new girlfriend here
Feels like he's on top
And I don't feel no remorse
And you can't see past my blindness

Oh, Ophelia
You've been on my mind, girl, since the flood
...


(1409614428508)"
22	rock-songs	Waste A Moment	Kings Of Leon	21.0	16.0	2017-02-11	"All the way from Waco to WE-HO
With a rabbit on a chain
Drove her little slick car to ten bar
With the static on her brain
She's a little burner, burner,
gonna throw you to the flame
Leave a ticking time bomb,
time bomb gonna blow us all away

Ohohoho
Take the time to waste a moment
Ohohoho
Never ask to be forgiven
...


(1409614428508)"
23	rock-songs	Love On The Weekend	John Mayer	11.0	7.0	2017-02-04	"It's a Friday, we finally made it
I can't believe I get to see your face
You've been working and I've been waiting
To pick you up and take you from this place

Love on the weekend
Love on the weekend
Like only we can
Like only we can
Love on the weekend
Love on the weekend
I'm coming up and I'm loving every minute of it

You be the DJ, I'll be the driver
You put your feet up in the getaway car
...


(1409614428508)"
24	rock-songs	Moving On And Getting Over	John Mayer	1.0	8.0	2017-02-04	"Moving on and getting over
Are not the same, it seems to me
Cause you've been gone, I'm growing older
But I still can't seem to get you off my mind
And I do believe I feel you all the time

Moving on and getting over
Are not the friends they used to be
It's been so long since I got to hold you
But I still can't seem to get you off my mind
And I do believe I feel you all the time, all the time

Tell me I can have the fact you've loved me to hold onto
...


(1409614428508)"
25	rock-songs	On Hold	The xx	10.0	8.0	2017-01-28	"I don't blame you
We got carried away
I can't hold on
To an empty space

Now you've found a new star to orbit
It could be love
I think you're too soon to call us old
When and where did we go cold?
I thought I had you on hold

And every time I let you leave
I always saw you coming back to me
When and where did we go cold?
I thought I had you on hold

Where does it stop, where does it stop
Where do you dare me to?
You've got the body, you've got the body
Dare me to, dare me to
Where does it stop, where does it stop
Where do you dare me to?
You've got the body, you've got the body
I thought I had you on hold
Where does it stop, where does it stop
Where do you dare me to?
You've got the body, you've got the body
...


(1409614428508)"
26	rock-songs	Not Easy	Alex Da Kid Featuring X Ambassadors, Elle King & Wiz Khalifa	13.0	10.0	2017-01-28	"It's not easy
No, it's not easy
It's not easy breaking your heart
It's not easy
No, it's not easy
It's not easy breaking your heart

We were two dumb kids
Full of grand ideas
We knew this would end from the start
From the fire we burned
You and I we learned
It's not easy breaking your heart

It's not easy
No, it's not easy
It's not easy breaking your heart
It's not easy
No, it's not easy
It's not easy breaking your heart

Ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh

We were two dumb kids
Full of hopes and fears
...


(1409614428508)"
27	rock-songs	She's Out Of Her Mind	Blink-182	20.0	18.0	2017-01-21	"I said settle down, settle down
everything is fine
Take your eyes off the floor
She said no I'm not, no I'm not, no I'm not alright
I lost my head on the door

She's a-a-a-antisocial, a-a-a-antisocial
A-a-a she's an angel, yeah

I'm in deep with this girl but she's out of her mind, woah
She said ""babe I'm sorry but I'm crazy tonight"", woah
She got a black shirt, black skirt
And Bauhaus stuck in her head
I'm in deep with this girl but she's out of her mind, woah, oh yeah
We all need something to live for, oh yeah
...


(1409614428508)"
28	rock-songs	Say Something Loving	The xx	2.0	19.0	2017-01-21	"Say something loving
I just don't remember the thrill of affection
I just don't remember
Say something loving
I need a reminder the feeling's escaped me

I went looking for it
Could have been anyone's kiss
Throwing my arms at no-one
When I gave up I found love

Therefore flows through my mind
And it's growing all the time
I do myself a disservice
To feel this weak, to be this nervous

You say something loving
It's so overwhelming, the thrill of affection
...


(1409614428508)"
29	rock-songs	I Apologize	Five Finger Death Punch	24.0	20.0	2017-01-14	"One day
the shadows will surround me
Some day
the days will come to end
Some time

I'll have to face the real me
Somehow
I'll have to learn to bend
And now I see clearly
All these times

I simply stepped aside
I watched but never really listened
As the whole world passed me by
All this time

I watched from the outside
Never understood what was wrong or what was right
I apologize
(Whooaah)
(Whooaah)

(Whooah)
I apologize
(Whooaah)
...


(1409614428508)"
30	rock-songs	Cancer	twenty one pilots	17.0	21.0	2017-01-14	"Turn away
If you could get me a drink
Of water 'cause my lips are chapped and faded
Call my aunt Marie
Help her gather all my things
And bury me in all my favorite colors
My sisters and my brothers
Still
I will not kiss you
'Cause the hardest part of this is leaving you

I will not kiss you (kiss you)
Lips are chapped and faded
Call my (call my)
(Turn away)
Lips are chapped and faded (faded)
Kiss you (kiss you)
Lips are chapped and faded
Call my (call my)
...


(1409614428508)"
31	rock-songs	The One Moment	OK Go	5.0	9.0	2017-01-07	"Youre right
Theres nothing more lovely
Theres nothing more profound
Than the certainty
Than the certainty that all of this will end
That all of this will end
So open your arms to me
Open your arms to me

This will be the one moment that matters and
This will be the one thing we remember and
This will be the reason to rebel (yeah) and
This will be the one moment that matters at all

...


(1409614428508)"
32	rock-songs	Bohemian Rhapsody	Panic! At The Disco	21.0	21.0	2017-01-07	"Is this the real life?
Is this just fantasy?
Caught in a landslide
No escape from reality

Open your eyes
Look up to the skies and see
I'm just a poor boy
I need no sympathy,

Because I'm easy come, easy go
A little high, little low
Anyway the wind blows
Doesn't really matter to me, to me

Mama, just killed a man
Put a gun against his head
Pulled my trigger, now he's dead
Mama, life had just begun

But now I've gone and thrown it all away
Mama, oh
Didn't mean to make you cry
If I'm not back again this time tomorrow

Carry on, carry on
...


(1409614428508)"
1	pop-songs	Shape Of You	Ed Sheeran	15.0	1.0	2017-04-22	"The club isn't the best place to find a lover
So the bar is where I go
Me and my friends at the table doing shots
Drinking fast, and then we talk slow

And you come over and start up a conversation with just me
And trust me, I'll give it a chance now
Take my hand, stop
Put ""Van the Man"" on the jukebox
And then we start to dance
And now I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me

Say: ""Boy, let's not talk too much
Grab on my waist and put that body on me""
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new

Oh, I'm in love with your body
Oh-i-oh-i-oh-i-oh-i
Oh, I'm in love with your body
Oh-i-oh-i-oh-i-oh-i
Oh, I'm in love with your body
Oh-i-oh-i-oh-i-oh-i
...


(1409614428508)"
2	pop-songs	That's What I Like	Bruno Mars	13.0	2.0	2017-04-22	"I got a condo in Manhattan
Baby girl, what's hatnin'?
You and your ass invited
So gon' and get to clappin'
So pop it for a pimp
Pop, pop it for me
Turn around and drop it for a pimp
Drop, drop it for me
I'll rent a beach house in Miami
Wake up with no jammies
Lobster tail for dinner
Julio serve that scampi
You got it if you want it
Got, got it if you want it
Said you got it if you want it
Take my wallet if you want it now

Jump in the Cadillac
Girl, let's put some miles on it
Anything you want
Just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you

Gold jewelry shining so bright
Strawberry champagne on ice
...


(1409614428508)"
3	pop-songs	Paris	The Chainsmokers	13.0	3.0	2017-04-15	"We were staying in Paris
To get away from your parents
And I thought: ""Wow, if I could take this in a shot right now
I don't think that we could work this out""

Out on the terrace
I don't know if it's fair
But I thought: ""How could I let you fall by yourself
While I'm wasted with someone else?""

If we go down, then we go down together
They'll say you could do anything
They'll say that I was clever
If we go down, then we go down together
We'll get away with everything
Let's show them we are better
Let's show them we are better
Let's show them we are better

We were staying in Paris
To get away from your parents
You look so proud
Standing there with a frown and a cigarette
Posting pictures of yourself on the internet
...


(1409614428508)"
4	pop-songs	I Feel It Coming	The Weeknd Featuring Daft Punk	19.0	4.0	2017-04-15	"Tell me what you really like
Baby I can take my time
We don't ever have to fight
Just take it step-by-step
I can see it in your eyes
Cause they never tell me lies
I can feel that body shake
And the heat between your legs

You've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it can set you free
We don't have to rush when you're alone with me

I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe

You are not the single type
So baby, this the perfect time
I'm just trying to get you high
And faded off this touch
You don't need a lonely night
So baby, I can make it right
...


(1409614428508)"
